Time,fruit,fruit.se,veg,veg.se
1,0.6,0.15,0.5,0.31
2,0.6,0.15,0.5,0.31
3,0.6,0.15,0.5,0.31
4,0.6,0.15,0.5,0.31
5,0.6,0.15,0.5,0.31
6,0.6,0.15,0.5,0.31
7,0.6,0.15,0.5,0.31
8,0.6,0.15,0.5,0.31
9,0.6,0.15,0.5,0.31
10,0.6,0.15,0.5,0.31
11,0.6,0.15,0.5,0.31
12,0.6,0.15,0.5,0.31
13,0.6,0.15,0.5,0.31
14,0.6,0.15,0.5,0.31
15,0.6,0.15,0.5,0.31
16,0.6,0.15,0.5,0.31
17,0.6,0.15,0.5,0.31
18,0.6,0.15,0.5,0.31
19,0.6,0.15,0.5,0.31
20,0.6,0.15,0.5,0.31
21,0.6,0.15,0.5,0.31
22,0.6,0.15,0.5,0.31
23,0.6,0.15,0.5,0.31
24,0.6,0.15,0.5,0.31
25,0.6,0.15,0.5,0.31
26,0.6,0.15,0.5,0.31
27,0.6,0.15,0.5,0.31
28,0.6,0.15,0.5,0.31
29,0.6,0.15,0.5,0.31
30,0.6,0.15,0.5,0.31
31,0.6,0.15,0.5,0.31
32,0.6,0.15,0.5,0.31
33,0.6,0.15,0.5,0.31
34,0.6,0.15,0.5,0.31
35,0.6,0.15,0.5,0.31
36,0.6,0.15,0.5,0.31
37,0.6,0.15,0.5,0.31
38,0.6,0.15,0.5,0.31
39,0.6,0.15,0.5,0.31
40,0.6,0.15,0.5,0.31
41,0.6,0.15,0.5,0.31
42,0.6,0.15,0.5,0.31
43,0.6,0.15,0.5,0.31
44,0.6,0.15,0.5,0.31
45,0.6,0.15,0.5,0.31
46,0.6,0.15,0.5,0.31
47,0.6,0.15,0.5,0.31
48,0.6,0.15,0.5,0.31
49,0.6,0.15,0.5,0.31
50,0.6,0.15,0.5,0.31
51,0.6,0.15,0.5,0.31
52,0.6,0.15,0.5,0.31
53,0.6,0.15,0.5,0.31
54,0.6,0.15,0.5,0.31
55,0.6,0.15,0.5,0.31
56,0.6,0.15,0.5,0.31
57,0.6,0.15,0.5,0.31
58,0.6,0.15,0.5,0.31
59,0.6,0.15,0.5,0.31
60,0.6,0.15,0.5,0.31
61,0.6,0.15,0.5,0.31
62,0.6,0.15,0.5,0.31
63,0.6,0.15,0.5,0.31
64,0.6,0.15,0.5,0.31
65,0.6,0.15,0.5,0.31
66,0.6,0.15,0.5,0.31
67,0.6,0.15,0.5,0.31
68,0.6,0.15,0.5,0.31
69,0.6,0.15,0.5,0.31
70,0.6,0.15,0.5,0.31
71,0.6,0.15,0.5,0.31
72,0.6,0.15,0.5,0.31
73,0.6,0.15,0.5,0.31
74,0.6,0.15,0.5,0.31
75,0.6,0.15,0.5,0.31
76,0.6,0.15,0.5,0.31
77,0.6,0.15,0.5,0.31
78,0.6,0.15,0.5,0.31
79,0.6,0.15,0.5,0.31
80,0.6,0.15,0.5,0.31
81,0.6,0.15,0.5,0.31
82,0.6,0.15,0.5,0.31
83,0.6,0.15,0.5,0.31
84,0.6,0.15,0.5,0.31
85,0.6,0.15,0.5,0.31
86,0.6,0.15,0.5,0.31
87,0.6,0.15,0.5,0.31
88,0.6,0.15,0.5,0.31
89,0.6,0.15,0.5,0.31
90,0.6,0.15,0.5,0.31
91,0.6,0.15,0.5,0.31
92,0.6,0.15,0.5,0.31
93,0.6,0.15,0.5,0.31
94,0.6,0.15,0.5,0.31
95,0.6,0.15,0.5,0.31
96,0.6,0.15,0.5,0.31
97,0.6,0.15,0.5,0.31
98,0.6,0.15,0.5,0.31
99,0.6,0.15,0.5,0.31
100,0.6,0.15,0.5,0.31